case_id,start,end,cycle_time_h
0,2018-01-01 03:38:10.793331,2018-01-04 08:00:00.000000,76.36366851916667
1,2018-01-01 05:46:14.478630,2018-01-04 08:00:00.000000,74.22931149166666
2,2018-01-01 06:13:47.517196,2018-01-01 07:44:58.591487,1.519742858611111
3,2018-01-01 07:34:47.527361,2018-01-01 09:39:24.907657,2.077050082222222
4,2018-01-01 08:06:29.759290,2018-01-04 08:00:00.000000,71.89173353055556
5,2018-01-01 09:09:19.413047,2018-01-01 11:47:22.971170,2.6343217008333335
6,2018-01-01 09:36:49.318581,2018-01-04 08:00:00.000000,70.38630039416667
7,2018-01-01 10:02:22.327483,2018-01-01 11:13:43.391199,1.1891843655555554
8,2018-01-01 10:10:40.593300,2018-01-01 12:17:33.170947,2.1146049019444444
9,2018-01-01 12:11:35.169394,2018-01-04 08:00:00.000000,67.80689739055556
10,2018-01-01 14:13:31.762774,2018-01-01 17:21:23.043914,3.1309114277777774
11,2018-01-01 19:00:17.648580,2018-01-04 08:00:00.000000,60.99509761666666
12,2018-01-01 19:03:57.668677,2018-01-04 08:00:00.000000,60.93398092305555
13,2018-01-01 19:30:34.279365,2018-01-01 21:53:43.625755,2.3859295527777777
14,2018-01-01 19:51:20.074635,2018-01-04 08:00:00.000000,60.1444237125
15,2018-01-01 21:13:57.310131,2018-01-01 23:52:10.312762,2.6369451752777775
16,2018-01-01 21:15:56.778982,2018-01-04 08:00:00.000000,58.73422806055556
17,2018-01-01 21:24:31.764216,2018-01-01 23:10:26.174865,1.7651140691666667
18,2018-01-01 21:40:43.011201,2018-01-01 23:48:52.320559,2.1359192661111113
19,2018-01-01 21:50:53.405078,2018-01-01 23:44:14.037844,1.889064657222222
20,2018-01-01 21:59:21.582593,2018-01-02 00:27:41.010781,2.4720633855555554
21,2018-01-01 22:07:29.348543,2018-01-01 23:37:05.035304,1.4932463225
22,2018-01-01 22:23:42.681516,2018-01-02 00:09:04.560408,1.75607747
23,2018-01-01 22:28:57.726730,2018-01-04 08:00:00.000000,57.51729813055556
24,2018-01-01 22:41:05.695488,2018-01-02 00:26:03.815708,1.7494778388888887
25,2018-01-01 22:41:41.646482,2018-01-02 00:37:59.392115,1.9382626758333334
26,2018-01-01 22:47:25.634124,2018-01-04 08:00:00.000000,57.20954607666667
27,2018-01-01 23:00:50.543393,2018-01-02 01:49:34.596446,2.8122369591666665
28,2018-01-01 23:03:59.381180,2018-01-04 08:00:00.000000,56.93350522777778
29,2018-01-01 23:04:45.710606,2018-01-02 01:40:51.669215,2.6016551691666665
30,2018-01-01 23:05:11.689764,2018-01-04 08:00:00.000000,56.91341951
31,2018-01-01 23:14:07.187062,2018-01-02 01:47:40.642832,2.559293269444445
32,2018-01-01 23:14:51.162902,2018-01-02 02:15:24.789530,3.00934073
33,2018-01-01 23:16:07.613217,2018-01-04 08:00:00.000000,56.73121855083333
34,2018-01-01 23:20:51.012498,2018-01-02 02:31:09.266014,3.171737087777778
35,2018-01-01 23:21:47.977272,2018-01-04 08:00:00.000000,56.63667298
36,2018-01-01 23:22:52.723911,2018-01-04 08:00:00.000000,56.6186878025
37,2018-01-01 23:44:09.473685,2018-01-02 03:45:17.815112,4.018983729722222
38,2018-01-01 23:46:52.955545,2018-01-04 08:00:00.000000,56.218623459722224
39,2018-01-02 00:01:55.388405,2018-01-04 08:00:00.000000,55.96794766527778
40,2018-01-02 00:36:34.091253,2018-01-02 05:00:45.778138,4.403246356944444
41,2018-01-02 06:40:28.743195,2018-01-02 09:06:03.992817,2.4264582283333334
42,2018-01-02 09:00:00.000000,2018-01-04 18:00:00.000000,57.0
43,2018-01-02 09:00:00.000000,2018-01-04 18:00:00.000000,57.0
44,2018-01-02 09:00:00.000000,2018-01-07 08:00:00.000000,119.0
45,2018-01-02 09:00:00.000000,2018-01-07 08:00:00.000000,119.0
46,2018-01-02 09:00:00.000000,2018-01-07 08:00:00.000000,119.0
47,2018-01-02 09:00:00.000000,2018-01-07 08:00:00.000000,119.0
48,2018-01-02 09:00:00.000000,2018-01-07 08:00:00.000000,119.0
49,2018-01-02 10:00:00.000000,2018-01-10 08:00:00.000000,190.0
50,2018-01-02 10:00:00.000000,2018-01-10 08:00:00.000000,190.0
51,2018-01-02 10:00:00.000000,2018-01-10 08:00:00.000000,190.0
52,2018-01-02 10:00:00.000000,2018-01-10 08:00:00.000000,190.0
53,2018-01-02 10:00:00.000000,2018-01-07 08:00:00.000000,118.0
54,2018-01-02 10:00:00.000000,2018-01-07 08:00:00.000000,118.0
55,2018-01-02 10:00:00.000000,2018-01-07 08:00:00.000000,118.0
56,2018-01-02 10:00:00.000000,2018-01-07 08:00:00.000000,118.0
57,2018-01-02 10:00:00.000000,2018-01-07 08:00:00.000000,118.0
58,2018-01-02 10:00:00.000000,2018-01-07 08:00:00.000000,118.0
59,2018-01-02 10:40:08.182658,2018-01-04 08:00:00.000000,45.33106037277778
