day,arrivals,completions
2018-01-01,1.0,1.0
2018-01-02,69.0,4.0
2018-01-03,61.0,8.0
2018-01-04,28.0,70.0
2018-01-05,48.0,4.0
2018-01-06,38.0,15.0
2018-01-07,35.0,117.0
2018-01-08,40.0,12.0
2018-01-09,57.0,4.0
2018-01-10,63.0,85.0
2018-01-11,50.0,7.0
2018-01-12,58.0,5.0
2018-01-13,4.0,105.0
2018-01-14,52.0,15.0
2018-01-15,57.0,18.0
2018-01-16,49.0,104.0
2018-01-17,53.0,3.0
2018-01-18,55.0,6.0
2018-01-19,41.0,118.0
2018-01-20,18.0,1.0
2018-01-21,41.0,21.0
2018-01-22,48.0,102.0
2018-01-23,49.0,5.0
2018-01-24,55.0,3.0
2018-01-25,36.0,101.0
2018-01-26,65.0,3.0
2018-01-27,51.0,21.0
2018-01-28,45.0,120.0
2018-01-29,53.0,15.0
2018-01-30,54.0,6.0
2018-01-31,48.0,110.0
2018-02-01,57.0,5.0
2018-02-02,58.0,5.0
2018-02-03,29.0,117.0
2018-02-04,39.0,17.0
2018-02-05,48.0,7.0
2018-02-06,52.0,100.0
2018-02-07,36.0,6.0
2018-02-08,47.0,5.0
2018-02-09,48.0,100.0
2018-02-10,26.0,10.0
2018-02-11,34.0,25.0
2018-02-12,52.0,107.0
2018-02-13,56.0,8.0
2018-02-14,39.0,5.0
2018-02-15,45.0,110.0
2018-02-16,58.0,10.0
2018-02-17,32.0,14.0
2018-02-18,28.0,111.0
2018-02-19,49.0,18.0
2018-02-20,52.0,6.0
2018-02-21,32.0,91.0
2018-02-22,45.0,0.0
2018-02-23,31.0,2.0
2018-02-24,43.0,109.0
2018-02-25,44.0,18.0
2018-02-26,40.0,16.0
2018-02-27,45.0,79.0
2018-02-28,44.0,1.0
2018-03-01,36.0,0.0
2018-03-02,54.0,116.0
2018-03-03,4.0,4.0
2018-03-04,33.0,6.0
2018-03-05,35.0,112.0
2018-03-06,46.0,3.0
2018-03-07,35.0,0.0
2018-03-08,45.0,112.0
2018-03-09,59.0,7.0
2018-03-10,33.0,17.0
2018-03-11,52.0,118.0
2018-03-12,31.0,8.0
2018-03-13,79.0,8.0
2018-03-14,58.0,89.0
2018-03-15,52.0,8.0
2018-03-16,47.0,3.0
2018-03-17,49.0,134.0
2018-03-18,44.0,17.0
2018-03-19,34.0,11.0
2018-03-20,56.0,93.0
2018-03-21,39.0,9.0
2018-03-22,45.0,0.0
2018-03-23,46.0,108.0
2018-03-24,39.0,12.0
2018-03-25,42.0,25.0
2018-03-26,66.0,101.0
2018-03-27,66.0,11.0
2018-03-28,47.0,11.0
2018-03-29,30.0,103.0
2018-03-30,35.0,5.0
2018-03-31,29.0,14.0
2018-04-01,3.0,101.0
2018-04-03,48.0,2.0
2018-04-04,47.0,65.0
2018-04-05,30.0,0.0
2018-04-06,29.0,0.0
2018-04-07,44.0,116.0
2018-04-08,3.0,11.0
2018-04-09,47.0,2.0
2018-04-10,66.0,92.0
2018-04-11,42.0,15.0
2018-04-12,53.0,2.0
2018-04-13,41.0,118.0
2018-04-15,28.0,5.0
2018-04-16,53.0,107.0
2018-04-17,68.0,6.0
2018-04-18,58.0,5.0
2018-04-19,48.0,101.0
2018-04-20,49.0,2.0
2018-04-21,43.0,18.0
2018-04-22,48.0,130.0
2018-04-23,48.0,20.0
2018-04-24,55.0,14.0
2018-04-25,33.0,97.0
2018-04-26,36.0,2.0
2018-04-27,35.0,0.0
2018-04-28,14.0,100.0
2018-04-29,36.0,10.0
2018-04-30,53.0,16.0
2018-05-01,38.0,96.0
2018-05-02,24.0,7.0
2018-05-03,44.0,1.0
2018-05-04,51.0,95.0
2018-05-05,31.0,7.0
2018-05-06,36.0,20.0
2018-05-07,67.0,87.0
2018-05-08,53.0,5.0
2018-05-09,30.0,0.0
2018-05-10,30.0,96.0
2018-05-11,48.0,16.0
2018-05-12,43.0,17.0
2018-05-13,38.0,106.0
2018-05-14,42.0,13.0
2018-05-15,64.0,6.0
2018-05-16,60.0,94.0
2018-05-17,51.0,3.0
2018-05-18,54.0,10.0
2018-05-19,2.0,120.0
2018-05-22,50.0,93.0
2018-05-23,49.0,2.0
2018-05-24,35.0,9.0
2018-05-25,55.0,98.0
2018-05-26,19.0,8.0
2018-05-27,28.0,24.0
2018-05-28,37.0,97.0
2018-05-29,37.0,8.0
2018-05-30,44.0,5.0
2018-05-31,47.0,102.0
2018-06-01,36.0,11.0
2018-06-02,37.0,10.0
2018-06-03,24.0,84.0
2018-06-04,72.0,14.0
2018-06-05,44.0,6.0
2018-06-06,49.0,91.0
2018-06-07,55.0,6.0
2018-06-08,36.0,2.0
2018-06-09,0.0,109.0
2018-06-10,39.0,13.0
2018-06-11,59.0,15.0
2018-06-12,58.0,90.0
2018-06-13,32.0,4.0
2018-06-14,50.0,2.0
2018-06-15,41.0,102.0
2018-06-16,29.0,6.0
2018-06-17,26.0,17.0
2018-06-18,64.0,120.0
2018-06-19,32.0,3.0
2018-06-20,46.0,0.0
2018-06-21,36.0,89.0
2018-06-22,26.0,0.0
2018-06-23,45.0,10.0
2018-06-24,37.0,115.0
2018-06-25,36.0,18.0
2018-06-26,37.0,3.0
2018-06-27,39.0,73.0
2018-06-28,34.0,0.0
2018-06-29,31.0,0.0
2018-06-30,0.0,92.0
2018-07-01,29.0,8.0
2018-07-02,73.0,7.0
2018-07-03,47.0,79.0
2018-07-04,53.0,6.0
2018-07-05,33.0,8.0
2018-07-06,38.0,108.0
2018-07-07,35.0,8.0
2018-07-08,2.0,6.0
2018-07-09,55.0,99.0
2018-07-10,30.0,0.0
2018-07-11,49.0,7.0
2018-07-12,53.0,107.0
2018-07-13,48.0,5.0
2018-07-14,23.0,4.0
2018-07-15,41.0,113.0
2018-07-16,53.0,21.0
2018-07-17,33.0,7.0
2018-07-18,43.0,88.0
2018-07-19,54.0,9.0
2018-07-20,56.0,12.0
2018-07-21,8.0,105.0
2018-07-22,29.0,5.0
